epoch,loss,lr
1,1.447602,0.000200
2,1.143059,0.000199
3,1.088800,0.000198
4,1.065679,0.000197
5,1.049385,0.000196
6,1.039310,0.000194
7,1.026873,0.000191
8,1.021344,0.000189
9,1.012025,0.000186
10,1.008153,0.000183
11,1.001624,0.000179
12,0.997081,0.000176
13,0.994211,0.000172
14,0.990050,0.000167
15,0.987623,0.000163
16,0.980147,0.000158
17,0.979942,0.000153
18,0.977574,0.000148
19,0.975007,0.000143
20,0.972692,0.000138
21,0.969656,0.000132
22,0.965634,0.000127
23,0.963986,0.000121
24,0.965587,0.000116
25,0.959516,0.000110
26,0.958684,0.000104
27,0.958514,0.000099
28,0.957089,0.000093
29,0.955513,0.000088
30,0.951909,0.000082
31,0.954608,0.000077
32,0.951256,0.000072
33,0.949811,0.000067
34,0.948527,0.000062
35,0.949495,0.000057
36,0.948882,0.000053
37,0.946081,0.000048
38,0.944830,0.000044
39,0.947238,0.000041
40,0.944251,0.000037
41,0.944847,0.000034
